source,role,vibe,title,company,salary_min_usd,salary_max_usd,location,url
jobicy,Unknown,0,Corporate Account Executive,LaunchDarkly,116000,187660,USA,https://jobicy.com/jobs/153977-corporate-account-executive
jobicy,QA / Testing,0,Ads Quality Rater - Farsi (Turkey),Welo Global,5,5,Türkiye,https://jobicy.com/jobs/153979-ads-quality-rater-farsi-turkey
jobicy,Engineering,0,"Backend Engineer, Observability",LaunchDarkly,145500,235400,USA,https://jobicy.com/jobs/153974-backend-engineer-observability
jobicy,Data,0,Data Analyst - SQL / Databricks,Tenable,72500,96500,USA,https://jobicy.com/jobs/153978-data-analyst-sql-databricks
jobicy,Design (UI/UX),0,Senior Product Designer,RevenueCat,220000,220000,"EMEA,  LATAM,  Canada,  USA",https://jobicy.com/jobs/153973-senior-product-designer-13
jobicy,Support,0,Customer Success Manager,Tenable,33,44,USA,https://jobicy.com/jobs/153975-customer-success-manager-49
jobicy,QA / Testing,0,Ads Quality Rater - Cantonese (Hong Kong),Welo Global,13,13,Hong Kong,https://jobicy.com/jobs/153976-ads-quality-rater-cantonese-hong-kong
jobicy,Unknown,0,"Country Manager, Canada",Tenable,,,Canada,https://jobicy.com/jobs/153968-country-manager-canada
jobicy,Unknown,0,Commercial Territory Manager,Tenable,29,39,USA,https://jobicy.com/jobs/153964-commercial-territory-manager-2
jobicy,Unknown,0,Atlassian Platform Architect,Datavant,160000,180000,USA,https://jobicy.com/jobs/153965-atlassian-platform-architect
jobicy,Unknown,0,"Account Executive, New Business - Financial Services",AlphaSense,99000,197000,USA,https://jobicy.com/jobs/153966-account-executive-new-business-financial-services
jobicy,Cybersecurity,0,Associate Services Architect,Tenable,65000,87000,USA,https://jobicy.com/jobs/153962-associate-services-architect
jobicy,Cybersecurity,0,Patient Onboarding Associate- Call Center,Luna Physical Therapy,16,16,USA,https://jobicy.com/jobs/153961-patient-onboarding-associate-call-center
jobicy,Unknown,0,CDQI Nurse Specialist,Datavant,40,45,USA,https://jobicy.com/jobs/153969-cdqi-nurse-specialist
